Level	Date and Time	Source	Event ID	Task Category
Information	10.10.2017 08:07:45	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:07:45.647
ProcessGuid: {E4CEE641-C8CD-597E-0000-001045761900}
ProcessId: 6524
Image: C:\Windows\System32\SearchFilterHost.exe"
Information	10.10.2017 08:07:45	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:07:45.631
ProcessGuid: {E4CEE641-C8D9-597E-0000-00100D161A00}
ProcessId: 7076
Image: C:\Windows\System32\SearchProtocolHost.exe"
Information	10.10.2017 08:07:45	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:07:45.584
ProcessGuid: {E4CEE641-C8CD-597E-0000-0010AB6F1900}
ProcessId: 6248
Image: C:\Windows\System32\SearchProtocolHost.exe"
Information	10.10.2017 08:07:27	Microsoft-Windows-Sysmon	2	File creation time changed (rule: FileCreateTime)	"File creation time changed:
UtcTime: 2017-10-10 06:07:27.710
ProcessGuid: {E4CEE641-C533-597E-0000-0010E3890600}
ProcessId: 6984
Image: C:\WINDOWS\system32\mmc.exe
TargetFilename: C:\Users\John\AppData\Roaming\Microsoft\Windows\Libraries\~ocuments.tmp
CreationUtcTime: 2017-03-28 10:27:44.617
PreviousCreationUtcTime: 2017-10-10 06:07:27.710"
Information	10.10.2017 08:07:18	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:07:17.937
ProcessGuid: {E4CEE641-C82B-597E-0000-00106A881600}
ProcessId: 6080
Image: C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64374
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 34.199.115.40
DestinationHostname: ec2-34-199-115-40.compute-1.amazonaws.com
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:07:15	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:07:14.113
ProcessGuid: {E4CEE641-C4E9-597E-0000-0010789D0100}
ProcessId: 2336
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 61279
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 157.56.144.215
DestinationHostname: 
DestinationPort: 3544
DestinationPortName: teredo"
Information	10.10.2017 08:07:11	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:07:10.160
ProcessGuid: {E4CEE641-C4E9-597E-0000-0010369E0100}
ProcessId: 2352
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64373
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 40.77.226.250
DestinationHostname: 
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:07:03	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:07:03.975
ProcessGuid: {E4CEE641-C8F5-597E-0000-0010DCD31A00}
ProcessId: 5856
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeApp.exe"
Information	10.10.2017 08:06:59	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:59.618
ProcessGuid: {E4CEE641-C647-597E-0000-001075520F00}
ProcessId: 6168
Image: C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe"
Information	10.10.2017 08:06:56	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:55.773
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 49990
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 239.255.255.250
DestinationHostname: 
DestinationPort: 1900
DestinationPortName: ssdp"
